;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
305;9762;Kaufbeuren;1109;44398;0.49;0.039;559.2;63974.0;14.1
306;9763;Kempten (Allgäu);1093;69151;0.516;0.032;562.6;75730.0;8.8
307;9764;Memmingen;629;44100;0.498;0.032;590.5;67868.0;12.5
308;9771;Aichach-Friedberg;173;134655;0.495;0.021;637.1;64912.0;2.1
309;9772;Augsburg;237;253468;0.491;0.024;645.7;69885.0;1.2
310;9773;Dillingen a.d.Donau;122;96562;0.49;0.018;662.9;70295.0;3.3
311;9774;Günzburg;167;127027;0.501;0.019;655.4;78379.0;8.4
312;9775;Neu-Ulm;340;175204;0.507;0.022;620.0;75100.0;2.4
313;9776;Lindau (Bodensee);254;81981;0.46999999999999975;0.023;631.5;67962.0;7.5
314;9777;Ostallgäu;101;141182;0.488;0.022;639.3;71138.0;3.8
315;9778;Unterallgäu;118;145341;0.49;0.018;670.1;75272.0;3.0
316;9779;Donau-Ries;105;133783;0.497;0.016;673.1;82355.0;4.0
317;9780;Oberallgäu;102;156008;0.46799999999999975;0.022;637.9;65076.0;3.0
318;10041;Regionalverband Saarbrücken;800;328714;0.477;0.088;577.2;68898.0;7.8
319;10042;Merzig-Wadern;185;103243;0.445;0.042;679.3;63491.0;4.6
320;10043;Neunkirchen;526;131408;0.4359999999999999;0.067;646.6;63519.0;5.2
321;10044;Saarlouis;423;194319;0.444;0.048;676.1;67247.0;5.0
322;10045;Saarpfalz-Kreis;340;142196;0.4339999999999999;0.048;680.7;67094.0;10.4
323;10046;St. Wendel;183;87007;0.42;0.033;699.0;66524.0;2.8
324;11000;Berlin, Stadt;4118;3669491;0.5489999999999999;0.078;332.2;71433.0;5.7
325;12051;Brandenburg an der Havel, Stadt;314;72184;0.43799999999999994;0.081;474.8;55017.0;12.6
326;12052;Cottbus, Stadt;602;99678;0.45699999999999996;0.076;484.2;56291.0;11.8
327;12053;Frankfurt (Oder), Stadt;391;57751;0.44199999999999984;0.079;485.9;55360.0;16.3
328;12054;Potsdam, Stadt;958;180334;0.5469999999999999;0.054;421.0;63815.0;9.1
329;12060;Barnim;125;185244;0.43999999999999995;0.051;568.6;58895.0;6.5
330;12061;Dahme-Spreewald;75;170791;0.437;0.037;602.2;72495.0;6.1
331;12062;Elbe-Elster;54;101827;0.3789999999999999;0.06;618.6;57753.0;4.5
332;12063;Havelland;94;162996;0.4419999999999999;0.052;569.5;56341.0;3.0
333;12064;Märkisch-Oderland;91;195751;0.42400000000000004;0.054;592.6;58459.0;3.5
334;12065;Oberhavel;118;212914;0.439;0.049;570.2;71529.0;5.4
335;12066;Oberspreewald-Lausitz;89;109371;0.388;0.075;593.4;60923.0;4.6
336;12067;Oder-Spree;79;178803;0.40700000000000003;0.061;594.2;63112.0;7.7
337;12068;Ostprignitz-Ruppin;39;98861;0.40800000000000003;0.062;582.8;54846.0;11.5
338;12069;Potsdam-Mittelmark;84;216566;0.43599999999999994;0.04;588.4;60087.0;3.3
339;12070;Prignitz;36;76158;0.382;0.073;590.4;59793.0;4.7
340;12071;Spree-Neiße;69;113720;0.37;0.063;616.4;81560.0;4.3
341;12072;Teltow-Fläming;81;169997;0.45499999999999996;0.043;601.4;80056.0;3.0
342;12073;Uckermark;39;118947;0.387;0.108;569.1;70716.0;6.1
343;13003;Rostock;1153;209191;0.51;0.068;404.3;66735.0;7.3
344;13004;Schwerin;733;95653;0.47;0.086;455.7;56302.0;14.8
345;13071;Mecklenburgische Seenplatte;47;258074;0.41000000000000003;0.087;553.0;57512.0;6.3
346;13072;Landkreis Rostock;63;215794;0.42600000000000005;0.053;576.4;57904.0;3.7
347;13073;Vorpommern-Rügen;70;224702;0.41200000000000003;0.081;539.8;53253.0;5.0
348;13074;Nordwestmecklenburg;74;157322;0.4399999999999999;0.0579999999999999;567.7;58415.0;3.8
349;13075;Vorpommern-Greifswald;60;235623;0.432;0.086;525.9;54217.0;9.4
350;13076;Ludwigslust-Parchim;44;211779;0.42100000000000004;0.053;596.2;58919.0;4.5
351;14511;Chemnitz, Stadt;1114;246334;0.46799999999999997;0.065;506.9;58105.0;9.5
352;14521;Erzgebirgskreis;183;334948;0.4;0.044;598.5;51833.0;6.0
353;14522;Mittelsachsen;144;304099;0.41200000000000003;0.048;585.0;58179.0;4.3
354;14523;Vogtlandkreis;160;225997;0.3899999999999999;0.048;600.2;53846.0;7.5
355;14524;Zwickau;332;315002;0.403;0.045;582.6;62927.0;6.3
356;14612;Dresden, Stadt;1695;556780;0.5509999999999999;0.0559999999999999;408.0;64931.0;7.0
357;14625;Bautzen;125;299758;0.41000000000000003;0.05;597.3;54163.0;5.6
358;14626;Görlitz;120;252725;0.391;0.078;560.7;57914.0;7.1
359;14627;Meißen;166;241717;0.41400000000000003;0.053;564.5;59718.0;4.9
360;14628;Sächsische Schweiz-Osterzgebirge;148;245586;0.42600000000000005;0.045;575.9;55194.0;5.2
361;14713;Leipzig, Stadt;1992;593145;0.5700000000000001;0.063;386.7;61629.0;6.9
362;14729;Leipzig;156;258139;0.41400000000000003;0.05;589.0;65048.0;4.4
363;14730;Nordsachsen;97;197741;0.42000000000000004;0.062;579.1;57918.0;7.2
364;15001;Dessau-Roßlau, Stadt;327;80103;0.382;0.077;518.6;59183.0;11.6
365;15002;Halle (Saale), Stadt;1768;238762;0.513;0.0819999999999999;392.5;55805.0;12.4
366;15003;Magdeburg, Landeshauptstadt;1182;237565;0.499;0.083;465.3;58221.0;9.9
367;15081;Altmarkkreis Salzwedel;36;83173;0.41700000000000004;0.064;603.1;55215.0;4.9
368;15082;Anhalt-Bitterfeld;109;158486;0.391;0.071;578.7;65181.0;4.9
369;15083;Börde;72;170923;0.42400000000000004;0.051;611.8;68016.0;3.4
370;15084;Burgenlandkreis;126;178846;0.397;0.065;565.0;60983.0;6.1
371;15085;Harz;101;213310;0.395;0.053;571.6;55357.0;6.9
372;15086;Jerichower Land;57;89589;0.403;0.069;603.9;62830.0;8.2
